Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume)
All Vehicles - StL All Vehicles Volume,Origin,109,MCDONOUGH,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),24380
All Vehicles - StL All Vehicles Volume,Origin,11,BUREAU,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),108936
All Vehicles - StL All Vehicles Volume,Origin,11,BUREAU,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),21402
All Vehicles - StL All Vehicles Volume,Origin,11,BUREAU,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),34392
All Vehicles - StL All Vehicles Volume,Origin,11,BUREAU,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),33425
All Vehicles - StL All Vehicles Volume,Origin,11,BUREAU,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),110387
All Vehicles - StL All Vehicles Volume,Origin,11,BUREAU,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),23572
All Vehicles - StL All Vehicles Volume,Origin,11,BUREAU,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),32683
All Vehicles - StL All Vehicles Volume,Origin,11,BUREAU,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),35400
All Vehicles - StL All Vehicles Volume,Origin,11,BUREAU,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),98880
All Vehicles - StL All Vehicles Volume,Origin,11,BUREAU,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),15689
All Vehicles - StL All Vehicles Volume,Origin,11,BUREAU,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),37364
All Vehicles - StL All Vehicles Volume,Origin,11,BUREAU,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),27331
All Vehicles - StL All Vehicles Volume,Origin,111,MCHENRY,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1205895
All Vehicles - StL All Vehicles Volume,Origin,111,MCHENRY,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),233766
All Vehicles - StL All Vehicles Volume,Origin,111,MCHENRY,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),394634
All Vehicles - StL All Vehicles Volume,Origin,111,MCHENRY,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),365157
All Vehicles - StL All Vehicles Volume,Origin,111,MCHENRY,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1210212
All Vehicles - StL All Vehicles Volume,Origin,111,MCHENRY,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),262606
All Vehicles - StL All Vehicles Volume,Origin,111,MCHENRY,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),358663
All Vehicles - StL All Vehicles Volume,Origin,111,MCHENRY,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),379263
All Vehicles - StL All Vehicles Volume,Origin,111,MCHENRY,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1135973
All Vehicles - StL All Vehicles Volume,Origin,111,MCHENRY,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),160870
All Vehicles - StL All Vehicles Volume,Origin,111,MCHENRY,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),469141
All Vehicles - StL All Vehicles Volume,Origin,111,MCHENRY,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),317371
All Vehicles - StL All Vehicles Volume,Origin,113,MCLEAN,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),594172
All Vehicles - StL All Vehicles Volume,Origin,113,MCLEAN,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),108606
All Vehicles - StL All Vehicles Volume,Origin,113,MCLEAN,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),193816
All Vehicles - StL All Vehicles Volume,Origin,113,MCLEAN,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),189593
All Vehicles - StL All Vehicles Volume,Origin,113,MCLEAN,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),612035
All Vehicles - StL All Vehicles Volume,Origin,113,MCLEAN,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),123855
All Vehicles - StL All Vehicles Volume,Origin,113,MCLEAN,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),183393
All Vehicles - StL All Vehicles Volume,Origin,113,MCLEAN,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),204481
All Vehicles - StL All Vehicles Volume,Origin,113,MCLEAN,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),521083
All Vehicles - StL All Vehicles Volume,Origin,113,MCLEAN,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),70132
All Vehicles - StL All Vehicles Volume,Origin,113,MCLEAN,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),208668
All Vehicles - StL All Vehicles Volume,Origin,113,MCLEAN,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),149220
All Vehicles - StL All Vehicles Volume,Origin,115,MACON,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),364098
All Vehicles - StL All Vehicles Volume,Origin,115,MACON,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),65497
All Vehicles - StL All Vehicles Volume,Origin,115,MACON,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),122561
All Vehicles - StL All Vehicles Volume,Origin,115,MACON,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),111903
All Vehicles - StL All Vehicles Volume,Origin,115,MACON,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),374336
All Vehicles - StL All Vehicles Volume,Origin,115,MACON,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),74425
All Vehicles - StL All Vehicles Volume,Origin,115,MACON,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),119802
All Vehicles - StL All Vehicles Volume,Origin,115,MACON,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),118953
All Vehicles - StL All Vehicles Volume,Origin,115,MACON,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),315800
All Vehicles - StL All Vehicles Volume,Origin,115,MACON,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),41735
All Vehicles - StL All Vehicles Volume,Origin,115,MACON,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),123717
All Vehicles - StL All Vehicles Volume,Origin,115,MACON,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),89644
All Vehicles - StL All Vehicles Volume,Origin,117,MACOUPIN,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),120235
All Vehicles - StL All Vehicles Volume,Origin,117,MACOUPIN,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),24482
All Vehicles - StL All Vehicles Volume,Origin,117,MACOUPIN,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),36587
All Vehicles - StL All Vehicles Volume,Origin,117,MACOUPIN,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),36765
All Vehicles - StL All Vehicles Volume,Origin,117,MACOUPIN,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),120745
All Vehicles - StL All Vehicles Volume,Origin,117,MACOUPIN,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),27016
All Vehicles - StL All Vehicles Volume,Origin,117,MACOUPIN,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),33456
All Vehicles - StL All Vehicles Volume,Origin,117,MACOUPIN,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),38495
All Vehicles - StL All Vehicles Volume,Origin,117,MACOUPIN,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),111634
All Vehicles - StL All Vehicles Volume,Origin,117,MACOUPIN,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),17535
All Vehicles - StL All Vehicles Volume,Origin,117,MACOUPIN,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),42550
All Vehicles - StL All Vehicles Volume,Origin,117,MACOUPIN,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),30769
All Vehicles - StL All Vehicles Volume,Origin,119,MADISON,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),813882
All Vehicles - StL All Vehicles Volume,Origin,119,MADISON,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),149454
All Vehicles - StL All Vehicles Volume,Origin,119,MADISON,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),260538
All Vehicles - StL All Vehicles Volume,Origin,119,MADISON,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),250859
All Vehicles - StL All Vehicles Volume,Origin,119,MADISON,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),825838
All Vehicles - StL All Vehicles Volume,Origin,119,MADISON,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),168631
All Vehicles - StL All Vehicles Volume,Origin,119,MADISON,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),244326
All Vehicles - StL All Vehicles Volume,Origin,119,MADISON,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),264097
All Vehicles - StL All Vehicles Volume,Origin,119,MADISON,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),740956
All Vehicles - StL All Vehicles Volume,Origin,119,MADISON,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),99106
All Vehicles - StL All Vehicles Volume,Origin,119,MADISON,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),288527
All Vehicles - StL All Vehicles Volume,Origin,119,MADISON,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),208791
All Vehicles - StL All Vehicles Volume,Origin,121,MARION,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),115606
All Vehicles - StL All Vehicles Volume,Origin,121,MARION,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),21152
All Vehicles - StL All Vehicles Volume,Origin,121,MARION,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),36836
All Vehicles - StL All Vehicles Volume,Origin,121,MARION,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),35625
All Vehicles - StL All Vehicles Volume,Origin,121,MARION,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),117662
All Vehicles - StL All Vehicles Volume,Origin,121,MARION,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),23478
All Vehicles - StL All Vehicles Volume,Origin,121,MARION,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),35145
All Vehicles - StL All Vehicles Volume,Origin,121,MARION,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),38149
All Vehicles - StL All Vehicles Volume,Origin,121,MARION,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),102496
All Vehicles - StL All Vehicles Volume,Origin,121,MARION,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),14530
All Vehicles - StL All Vehicles Volume,Origin,121,MARION,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),38997
All Vehicles - StL All Vehicles Volume,Origin,121,MARION,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),27587
All Vehicles - StL All Vehicles Volume,Origin,123,MARSHALL,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),36222
All Vehicles - StL All Vehicles Volume,Origin,123,MARSHALL,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),7449
All Vehicles - StL All Vehicles Volume,Origin,123,MARSHALL,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),11087
All Vehicles - StL All Vehicles Volume,Origin,123,MARSHALL,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),11022
All Vehicles - StL All Vehicles Volume,Origin,123,MARSHALL,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),35403
All Vehicles - StL All Vehicles Volume,Origin,123,MARSHALL,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),8173
All Vehicles - StL All Vehicles Volume,Origin,123,MARSHALL,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),9899
All Vehicles - StL All Vehicles Volume,Origin,123,MARSHALL,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),11035
All Vehicles - StL All Vehicles Volume,Origin,123,MARSHALL,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),36292
All Vehicles - StL All Vehicles Volume,Origin,123,MARSHALL,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),5560
All Vehicles - StL All Vehicles Volume,Origin,123,MARSHALL,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),13594
All Vehicles - StL All Vehicles Volume,Origin,123,MARSHALL,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),10393
All Vehicles - StL All Vehicles Volume,Origin,125,MASON,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),46222
All Vehicles - StL All Vehicles Volume,Origin,125,MASON,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),9625
All Vehicles - StL All Vehicles Volume,Origin,125,MASON,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),14638
All Vehicles - StL All Vehicles Volume,Origin,125,MASON,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),13825
All Vehicles - StL All Vehicles Volume,Origin,125,MASON,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),47059
All Vehicles - StL All Vehicles Volume,Origin,125,MASON,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),10684
All Vehicles - StL All Vehicles Volume,Origin,125,MASON,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),13865
All Vehicles - StL All Vehicles Volume,Origin,125,MASON,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),14679
All Vehicles - StL All Vehicles Volume,Origin,125,MASON,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),41530
All Vehicles - StL All Vehicles Volume,Origin,125,MASON,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),6776
All Vehicles - StL All Vehicles Volume,Origin,125,MASON,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),15895
All Vehicles - StL All Vehicles Volume,Origin,125,MASON,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),11024
All Vehicles - StL All Vehicles Volume,Origin,127,MASSAC,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),38769
All Vehicles - StL All Vehicles Volume,Origin,127,MASSAC,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),7716
All Vehicles - StL All Vehicles Volume,Origin,127,MASSAC,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),12606
All Vehicles - StL All Vehicles Volume,Origin,127,MASSAC,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),11571
All Vehicles - StL All Vehicles Volume,Origin,127,MASSAC,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),38634
All Vehicles - StL All Vehicles Volume,Origin,127,MASSAC,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),8449
All Vehicles - StL All Vehicles Volume,Origin,127,MASSAC,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),11937
All Vehicles - StL All Vehicles Volume,Origin,127,MASSAC,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),11856
All Vehicles - StL All Vehicles Volume,Origin,127,MASSAC,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),36271
All Vehicles - StL All Vehicles Volume,Origin,127,MASSAC,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),5681
All Vehicles - StL All Vehicles Volume,Origin,127,MASSAC,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),13631
All Vehicles - StL All Vehicles Volume,Origin,127,MASSAC,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),10125
All Vehicles - StL All Vehicles Volume,Origin,129,MENARD,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),30126
All Vehicles - StL All Vehicles Volume,Origin,129,MENARD,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),7429
All Vehicles - StL All Vehicles Volume,Origin,129,MENARD,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),8331
All Vehicles - StL All Vehicles Volume,Origin,129,MENARD,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),9013
All Vehicles - StL All Vehicles Volume,Origin,129,MENARD,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),29573
All Vehicles - StL All Vehicles Volume,Origin,129,MENARD,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),8249
